time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.016989
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.015990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016989
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.016989
time took to calculate sigma_r: 0.013991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.016988
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.013990
time took to calculate sigma_r: 0.014991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018987
time took to calculate sigma_r: 0.017990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.018991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013988
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.016989
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.013992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010992
time took to calculate sigma_r: 0.015989
time took to calculate system_gs: 0.000998
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011995
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018990
time took to calculate sigma_r: 0.023983
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015989
time took to calculate sigma_r: 0.013992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.016990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.011994
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.011991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014990
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.010994
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.016992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010992
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.011994
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014988
time took to calculate sigma_r: 0.015991
time took to calculate system_gs: 0.000998
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018991
time took to calculate sigma_r: 0.011991
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.014988
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010994
time took to calculate sigma_r: 0.012990
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.014991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015991
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.001002
time took to calculate sigma_l: 0.011991
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012990
time took to calculate sigma_r: 0.011995
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016987
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.016990
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014989
time took to calculate sigma_r: 0.015990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.018989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.015990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016988
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.012990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.018990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015989
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.015990
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.013991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011994
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.014989
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.019987
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.021986
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.011994
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016989
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011991
time took to calculate sigma_r: 0.017989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017988
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.017989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.020987
time took to calculate sigma_r: 0.019987
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.013990
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.020986
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019987
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.001002
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.013993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019987
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.017991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.020989
time took to calculate sigma_r: 0.016986
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.020988
time took to calculate sigma_r: 0.013989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018989
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018989
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013990
time took to calculate sigma_r: 0.020988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.014989
time took to calculate sigma_r: 0.020989
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.017990
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019984
time took to calculate sigma_r: 0.013993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.012994
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012989
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.017988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.013991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019987
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011994
time took to calculate sigma_r: 0.015988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.020987
time took to calculate sigma_r: 0.012994
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013990
time took to calculate sigma_r: 0.018991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012990
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016990
time took to calculate sigma_r: 0.017989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018987
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015992
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015988
time took to calculate sigma_r: 0.013992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.020987
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.012990
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.013993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.013990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.015990
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.017988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019988
time took to calculate sigma_r: 0.013990
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.020988
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014990
time took to calculate sigma_r: 0.016990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.013993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013993
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.018989
time took to calculate sigma_r: 0.013992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.013992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.015991
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016990
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000998
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.012994
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011991
time took to calculate sigma_r: 0.013990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016991
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019987
time took to calculate sigma_r: 0.020987
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.014992
time took to calculate sigma_r: 0.015989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.014989
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.017988
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.021989
time took to calculate sigma_r: 0.015989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.013990
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.017989
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.014990
time took to calculate sigma_r: 0.017989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.021987
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012993
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014989
time took to calculate sigma_r: 0.015992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.014991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.020984
time took to calculate sigma_r: 0.012994
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.021989
time took to calculate sigma_r: 0.021985
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013990
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014990
time took to calculate sigma_r: 0.018989
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.014989
time took to calculate sigma_r: 0.020987
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.012992
time took to calculate sigma_r: 0.013990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013993
time took to calculate sigma_r: 0.019986
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.001002
time took to calculate sigma_l: 0.011991
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017986
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.017991
time took to calculate sigma_r: 0.018987
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.015990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010992
time took to calculate sigma_r: 0.012991
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014989
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.018987
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.019987
time took to calculate sigma_r: 0.010994
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.012990
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.010994
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017987
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.019986
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013990
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.016990
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.014991
time took to calculate sigma_r: 0.018989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010992
time took to calculate sigma_r: 0.012993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.019987
time took to calculate sigma_r: 0.018989
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.018989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013991
time took to calculate sigma_r: 0.015990
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011994
time took to calculate sigma_r: 0.014990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.001001
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.012990
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011994
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011993
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019986
time took to calculate sigma_r: 0.010993
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.013992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.012991
time took to calculate sigma_r: 0.011994
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010993
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.015990
time took to calculate sigma_r: 0.018988
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.017989
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010991
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011992
time took to calculate sigma_r: 0.010992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.011994
time took to calculate sigma_r: 0.011992
time took to calculate system_gs: 0.000999
time took to calculate sigma_l: 0.011994
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.019986
time took to calculate sigma_r: 0.019988
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.018988
time took to calculate sigma_r: 0.012992
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.013992
time took to calculate sigma_r: 0.011993
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.010994
time took to calculate sigma_r: 0.016989
time took to calculate system_gs: 0.000000
time took to calculate sigma_l: 0.017990
time took to calculate sigma_r: 0.013990
time took to calculate system_gs: 0.001000
time took to calculate sigma_l: 0.018989
time took to calculate sigma_r: 0.010993
